,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
1659,$10+ billion (USD),Deloitte,Accounting & Legal,OH,Company - Private,Accounting,"aws cloud enablement - analytics & cognitive, senior consultant",1850.0,3.9,993,10000+ Employees,0,1,37000.0
1660,$10+ billion (USD),Seattle Indian Health Board,Accounting & Legal,WA,Company - Private,Accounting,scientific director,1850.0,3.9,744,10000+ Employees,0,1,37000.0
1661,Unknown / Non-Applicable,Varsity Tutors,Information Technology,NY,Company - Private,Internet,glen cove data science expert jobs,2007.0,4.1,3,201 to 500 Employees,0,1,110500.0
1662,Unknown / Non-Applicable,Varsity Tutors,Information Technology,IL,Company - Private,Internet,lake forest data science instructor jobs,2007.0,4.1,3,201 to 500 Employees,0,1,110500.0
1663,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,senior software engineer – platform,2009.0,4.5,3,501 to 1000 Employees,0,1,110500.0
1664,$100 to $500 million (USD),Thermo Fisher Scientific,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,data scientist iii - digital commerce,2009.0,4.5,1332,501 to 1000 Employees,0,1,110500.0
1665,Unknown / Non-Applicable,Lorien,Business Services,Remote,Company - Public,Biotech & Pharmaceuticals,ai specialist,1902.0,3.8,902,10000+ Employees,0,1,110500.0
1666,Unknown / Non-Applicable,Path-Tec,Business Services,GA,Company - Private,Staffing & Outsourcing,operations data scientist,1998.0,3.0,543,201 to 500 Employees,0,1,110500.0
1667,$10+ billion (USD),Found Professionals,Information Technology,GA,Company - Public,IT Services,software engineer lead,1981.0,3.4,2069,10000+ Employees,0,1,110500.0
1668,$10+ billion (USD),C3 AI,Information Technology,CA,Company - Public,IT Services,senior software engineer – spark,1981.0,3.4,2069,10000+ Employees,0,1,110500.0
1669,$10+ billion (USD),Tripalink,Information Technology,CA,Company - Public,IT Services,financial data analyst (bilingual chinese),1981.0,3.4,2069,10000+ Employees,0,1,110500.0
1670,$10+ billion (USD),Zions Bancorporation,Information Technology,UT,Company - Public,IT Services,application reliability analyst,1981.0,3.4,2069,10000+ Employees,0,1,110500.0
1671,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,senior software engineer - crm,2009.0,4.5,3,501 to 1000 Employees,0,1,110500.0
1672,$5 to $10 billion (USD),Robert Half,Business Services,MN,Company - Public,Staffing & Outsourcing,data scientist,1948.0,3.3,6975,51 to 200 Employees,0,1,110500.0
1673,$10+ billion (USD),Deloitte,Accounting & Legal,OH,Company - Private,Accounting,"gcp cloud enablement - analytics & cognitive, senior consultant",1850.0,3.9,1999,10000+ Employees,0,1,110500.0
1674,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"senior software engineer, productivity",,3.9,744,10000+ Employees,0,1,110500.0
1675,$100 to $500 million (USD),Sure Secure Solutions,Information Technology,MD,Company - Public,Enterprise Software & Network Solutions,cloud software engineer - nasa goddard space center (id544),2009.0,4.5,1021,501 to 1000 Employees,0,1,110500.0
1676,Unknown / Non-Applicable,Grand Rounds,Health Care,NV,Company - Private,Health Care Services & Hospitals,bilingual care coordinator,2011.0,4.6,941,501 to 1000 Employees,0,1,110500.0
1677,$10 to $25 million (USD),Gestalt Diagnostics,Finance,ID,Company - Private,Investment Banking & Asset Management,senior data analyst,1972.0,,830,201 to 500 Employees,0,1,110500.0
1678,$10+ billion (USD),ASML,Manufacturing,CA,Company - Public,Electrical & Electronic Manufacturing,senior design engineer source & mask optimization,1984.0,4.2,1028,10000+ Employees,0,1,110500.0
1679,$10+ billion (USD),Envision LLC,Manufacturing,MO,Company - Public,Electrical & Electronic Manufacturing,data scientist – facility analytics,1984.0,4.2,1068,10000+ Employees,0,1,110500.0
1680,$25 to $50 million (USD),Firefighters First Credit Union,Finance,WA,Company - Private,Banks & Credit Unions,senior application engineer - fully remote (wa),1935.0,3.1,520,51 to 200 Employees,0,1,110500.0
1681,$25 to $50 million (USD),"Resource Management Concepts, Inc.",Finance,SC,Company - Private,Banks & Credit Unions,computer network architect 2,1935.0,3.1,1148,51 to 200 Employees,0,1,110500.0
1682,$10+ billion (USD),Leidos,Aerospace & Defense,VA,Company - Public,Aerospace & Defense,data solutions architect,1969.0,,908,10000+ Employees,0,1,110500.0
1683,$2 to $5 billion (USD),"CACI, INC-FEDERAL",Aerospace & Defense,VA,Company - Public,Aerospace & Defense,data engineer (asymmetric threat statistical analyst),1962.0,3.8,796,10000+ Employees,0,1,110500.0
1684,$2 to $5 billion (USD),AccruePartners,Aerospace & Defense,NC,Company - Public,Aerospace & Defense,data engineer,1962.0,3.8,613,10000+ Employees,0,1,110500.0
1685,Unknown / Non-Applicable,Varsity Tutors,Information Technology,MO,Company - Private,Internet,webster groves data science tutor jobs,2007.0,4.1,615,201 to 500 Employees,0,1,37000.0
1686,Unknown / Non-Applicable,Varsity Tutors,Information Technology,NJ,Company - Private,Internet,new jersey data science tutor jobs,2007.0,4.1,615,201 to 500 Employees,0,1,37000.0
1687,$500 million to $1 billion (USD),"Vizient, Inc.",Health Care,IL,Company - Private,Health Care Services & Hospitals,"director, strategic analytics-sg2",1977.0,4.1,966,1001 to 5000 Employees,0,1,37000.0
1688,$500 million to $1 billion (USD),Wavicle Data Solutions,Health Care,TN,Company - Private,Health Care Services & Hospitals,data engineer architect ( talend),1977.0,4.1,966,1001 to 5000 Employees,0,1,37000.0
1689,Unknown / Non-Applicable,Johns Hopkins Health Care,Information Technology,MD,Company - Private,Enterprise Software & Network Solutions,senior healthcare economics specialist,2018.0,3.2,1062,501 to 1000 Employees,0,1,37000.0
1690,$10+ billion (USD),Deloitte,Health Care,OH,Company - Private,Health Care Services & Hospitals,"azure cloud enablement - analytics & cognitive, manager",1889.0,3.8,1062,1001 to 5000 Employees,0,1,37000.0
1691,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"software engineer, platform security",2009.0,3.9,744,501 to 1000 Employees,0,1,37000.0
1692,$100 to $500 million (USD),Blue Cypress Consulting,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,civil/environmental engineer,2009.0,4.5,1089,501 to 1000 Employees,0,1,37000.0
1693,$1 to $5 million (USD),Blue Cypress Consulting,Business Services,GA,Company - Private,Consulting,utilities asset management analyst,2013.0,5.0,1004,1 to 50 Employees,0,1,37000.0
1694,$500 million to $1 billion (USD),QuinStreet,Business Services,Remote,Company - Public,Advertising & Marketing,senior client analyst,1999.0,5.0,863,501 to 1000 Employees,0,1,37000.0
1695,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"senior software engineer, front-end",2009.0,4.5,318,501 to 1000 Employees,0,1,37000.0
1696,$10+ billion (USD),Leidos,Aerospace & Defense,VA,Company - Public,Aerospace & Defense,hr data and analytics director,1969.0,4.5,954,10000+ Employees,0,1,37000.0
1697,$1 to $2 billion (USD),Takeda Pharmaceutical,Business Services,CA,Company - Public,Consulting,head of analytical quality control,1969.0,3.3,806,5001 to 10000 Employees,0,1,37000.0
1698,$2 to $5 billion (USD),BMO Harris Bank,Finance,IL,Subsidiary or Business Segment,Banks & Credit Unions,regulatory reporting senior data analyst,1882.0,3.3,1064,10000+ Employees,0,1,37000.0
1699,$100 to $500 million (USD),Biz2Credit Inc,Finance,NY,Company - Private,Lending,marketing product manager,2007.0,3.7,508,201 to 500 Employees,0,1,37000.0
1700,$10+ billion (USD),Unum,Insurance,ME,Company - Public,Insurance Carriers,data engineer,1848.0,3.8,803,5001 to 10000 Employees,0,1,37000.0
1701,$10+ billion (USD),Leidos,Aerospace & Defense,AZ,Company - Public,Aerospace & Defense,quality control aircraft records data analyst,1969.0,3.9,1860,10000+ Employees,0,1,37000.0
1702,Unknown / Non-Applicable,Bloomberg,Information Technology,NY,Company - Private,Computer Hardware & Software,enterprise data - financial data product manager,,3.9,598,10000+ Employees,0,1,37000.0
1703,Unknown / Non-Applicable,Spherion,Business Services,IN,Franchise,Staffing & Outsourcing,industrial data analyst,1946.0,4.1,2052,,0,1,37000.0
1704,$50 to $100 million (USD),"ADNET Systems, Inc.",Information Technology,MD,Company - Private,IT Services,es198 earth science data specialist,1990.0,3.9,663,201 to 500 Employees,0,1,37000.0
1705,Unknown / Non-Applicable,Healthy Back Institute,Consumer Services,TX,Company - Private,"Health, Beauty, & Fitness",data engineer,2003.0,4.3,980,1 to 50 Employees,0,1,37000.0
1706,$10+ billion (USD),Apple,Information Technology,PA,Company - Public,Computer Hardware & Software,"ai/ml - machine learning engineer, accessibility",1976.0,4.3,527,10000+ Employees,0,1,37000.0
1707,,GENETWORx/Recovery Centers of America,Information Technology,PA,Company - Public,Computer Hardware & Software,business analyst/developer,1976.0,4.3,775,10000+ Employees,0,1,37000.0
1708,Unknown / Non-Applicable,Varsity Tutors,Information Technology,NY,Company - Private,Internet,yonkers data science tutor jobs,2007.0,4.1,601,201 to 500 Employees,0,1,47000.0
1709,Unknown / Non-Applicable,Varsity Tutors,Information Technology,TX,Company - Private,Internet,carrollton data science tutor jobs,2007.0,4.1,601,201 to 500 Employees,0,1,47000.0
1710,$10+ billion (USD),Apple,Information Technology,PA,Company - Public,Computer Hardware & Software,"ai/ml - machine learning engineer, accessibility",1976.0,4.1,607,201 to 500 Employees,0,1,47000.0
1711,$10+ billion (USD),Healthy Back Institute,Information Technology,TX,Company - Public,Computer Hardware & Software,data engineer,1976.0,4.3,775,10000+ Employees,0,1,47000.0
1712,$100 to $500 million (USD),Natus Medical Incorporated,Manufacturing,IL,Company - Public,Health Care Products Manufacturing,senior software engineer (research and advanced development),1989.0,,527,1001 to 5000 Employees,0,1,47000.0
1713,Unknown / Non-Applicable,WanderJaunt,Travel & Tourism,AZ,Company - Private,"Hotels, Motels, & Resorts",head of sales,2016.0,3.7,984,51 to 200 Employees,0,1,47000.0
1714,$10 to $25 million (USD),Giving Assistant,Business Services,Remote,Company - Private,Advertising & Marketing,senior data scientist,2014.0,3.9,877,1 to 50 Employees,0,1,47000.0
1715,$10+ billion (USD),Leidos,Aerospace & Defense,FL,Company - Public,Aerospace & Defense,scientific programming and machine learning engineer,1969.0,3.9,993,,0,1,47000.0
1716,$10+ billion (USD),Deloitte,Accounting & Legal,OH,Company - Private,Accounting,"aws cloud enablement - analytics & cognitive, senior consultant",1850.0,3.9,993,10000+ Employees,0,1,47000.0
1717,$25 to $50 million (USD),Envision LLC,Business Services,MO,Company - Private,Staffing & Outsourcing,senior data engineer,1994.0,4.5,744,201 to 500 Employees,0,1,47000.0
1718,$25 to $50 million (USD),Seattle Indian Health Board,Business Services,WA,Company - Private,Staffing & Outsourcing,scientific director,1994.0,4.5,737,201 to 500 Employees,0,1,47000.0
1719,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,,senior software engineer – platform,1970.0,4.0,8399,5001 to 10000 Employees,0,1,47000.0
