,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
328,Unknown / Non-Applicable,NSI Inc.,Information Technology,Remote,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
329,Unknown / Non-Applicable,McKinsey & Company,Information Technology,MA,Company - Public,Internet,junior data engineer - quantumblack,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
330,Unknown / Non-Applicable,Salesforce,Business Services,TX,Company - Private,Consulting,fall 2021 co-op - data and automation analyst,1926.0,4.4,573,10000+ Employees,1,0,110240.0
331,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Public,Computer Hardware & Software,statistical programmer 1,1999.0,4.4,700,10000+ Employees,1,0,110240.0
332,$2 to $5 billion (USD),Newsly Technologies,Biotech & Pharmaceuticals,,Company - Public,Biotech & Pharmaceuticals,data scientist,1976.0,4.1,640,10000+ Employees,1,0,110240.0
333,Unknown / Non-Applicable,Salesforce,Information Technology,Remote,Company - Public,Internet,data science engineer,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
334,Unknown / Non-Applicable,Identical Soft,Information Technology,WA,Company - Public,Internet,data scientist,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
335,$10+ billion (USD),Tech True Up,Information Technology,Remote,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
336,Less than $1 million (USD),CORMAC,Information Technology,,Company - Private,Computer Hardware & Software,junior data scientist / entry level data scientist,,3.8,809,51 to 200 Employees,1,0,110240.0
337,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
338,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
339,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
340,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
341,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,WA,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
342,$500 million to $1 billion (USD),US Internal Revenue Service,"Oil, Gas, Energy & Utilities",VI,Government,Energy,mathematical statistician (data scientist) or statistician (data scientist),1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
343,$25 to $50 million (USD),Denken Solutions Inc,Information Technology,CA,Company - Private,IT Services,data science (100% remote),2010.0,3.7,633,,1,0,110240.0
344,$25 to $50 million (USD),Cisco Systems,Information Technology,CA,Company - Private,IT Services,data visualization engineer,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
345,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Private,Computer Hardware & Software,"data engineer, product analytics",1984.0,4.3,4414,10000+ Employees,1,0,110240.0
346,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2004.0,4.3,1300,10000+ Employees,1,0,110240.0
347,Unknown / Non-Applicable,Journey Foods,Information Technology,TX,Company - Public,Internet,data scientist,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
348,Unknown / Non-Applicable,McKinsey & Company,,MA,Company - Public,Internet,junior data engineer - quantumblack,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
349,Unknown / Non-Applicable,Salesforce,Business Services,Remote,Company - Private,Consulting,data science engineer,1926.0,4.4,573,10000+ Employees,1,0,110240.0
350,$10+ billion (USD),Newsly Technologies,Information Technology,,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
351,$2 to $5 billion (USD),PRA Health Sciences,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,statistical programmer 1,1976.0,,863,10000+ Employees,1,0,110240.0
352,$2 to $5 billion (USD),Okaya Inc,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,data scientist (ibm watson),1976.0,4.1,640,10000+ Employees,1,0,110240.0
353,,Procter & Gamble,Information Technology,OH,Company - Public,Internet,data scientist phd,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
354,$10+ billion (USD),BridgeBio,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data engineer/data science engineer,1837.0,4.2,693,10000+ Employees,1,0,110240.0
355,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
356,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
357,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
358,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
359,$10+ billion (USD),US Internal Revenue Service,Insurance,VI,Company - Public,Insurance Agencies & Brokerages,mathematical statistician (data scientist) or statistician (data scientist),1931.0,3.5,760,10000+ Employees,1,0,110240.0
360,$25 to $50 million (USD),Denken Solutions Inc,Information Technology,CA,Company - Private,IT Services,data science (100% remote),2010.0,,633,201 to 500 Employees,1,0,110240.0
361,$25 to $50 million (USD),Journey Foods,Information Technology,TX,Company - Private,IT Services,data scientist,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
362,$500 million to $1 billion (USD),Cisco Systems,"Oil, Gas, Energy & Utilities",CA,Government,Energy,data visualization engineer,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
363,$10+ billion (USD),NSI Inc.,Information Technology,Remote,Company - Private,Computer Hardware & Software,data scientist,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
364,,Newsly Technologies,Information Technology,,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
365,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2006.0,,863,5001 to 10000 Employees,1,0,110240.0
366,Unknown / Non-Applicable,Facebook,Information Technology,Remote,Company - Public,Internet,"data engineer, product analytics",2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
367,$10+ billion (USD),Salesforce,Information Technology,Remote,Company - Public,Internet,data science engineer,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
368,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Public,Computer Hardware & Software,statistical programmer 1,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
369,$2 to $5 billion (USD),Procter & Gamble,Biotech & Pharmaceuticals,OH,Company - Public,Biotech & Pharmaceuticals,data scientist masters,1976.0,4.1,640,10000+ Employees,1,0,110240.0
370,$10+ billion (USD),Pivosys Inc.,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,python developer -with data science experience,1837.0,4.2,1240,10000+ Employees,1,0,110240.0
371,$10+ billion (USD),Urbane Systems LLC,Information Technology,Remote,Company - Public,Computer Hardware & Software,data engineer,1999.0,4.4,700,10000+ Employees,1,0,110240.0
372,$10+ billion (USD),McKinsey & Company,Information Technology,MA,Company - Public,Computer Hardware & Software,junior data engineer - quantumblack,1999.0,4.4,700,10000+ Employees,1,0,110240.0
373,Unknown / Non-Applicable,Tech True Up,Information Technology,Remote,Company - Public,Internet,data scientist,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
374,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
375,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
376,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
377,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
378,,Denken Solutions Inc,Government,CA,Government,Federal Agencies,data science (100% remote),1862.0,3.7,633,10000+ Employees,1,0,110240.0
379,$25 to $50 million (USD),Allstate,Information Technology,IL,Company - Private,IT Services,avail - staff data scientist (remote home based worker),2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
380,$10+ billion (USD),Journey Foods,Insurance,TX,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
381,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Private,Computer Hardware & Software,statistical programmer 1,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
382,$2 to $5 billion (USD),Salesforce,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,fall 2021 co-op - data and automation analyst,1976.0,4.1,640,10000+ Employees,1,0,110240.0
383,$10+ billion (USD),Pacific Northwest National Laboratory,Information Technology,WA,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,700,10000+ Employees,1,0,110240.0
384,$500 million to $1 billion (USD),Pivosys Inc.,"Oil, Gas, Energy & Utilities",CA,Government,Energy,python developer -with data science experience,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
385,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"machine learning research scientist, algorithmic impact & responsibility",2006.0,,246,5001 to 10000 Employees,1,0,110240.0
386,Unknown / Non-Applicable,NSI Inc.,Information Technology,Remote,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
387,Unknown / Non-Applicable,Salesforce,Business Services,Remote,Company - Private,Consulting,data science engineer,1926.0,4.4,573,10000+ Employees,1,0,110240.0
388,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Public,Computer Hardware & Software,"data engineer, product analytics",1999.0,4.4,1101,10000+ Employees,1,0,110240.0
389,$10+ billion (USD),Nestria,Information Technology,Remote,Company - Public,Internet,python & data science mentor,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
390,Unknown / Non-Applicable,Newsly Technologies,Information Technology,,Company - Public,Internet,data scientist,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
391,$25 to $50 million (USD),Civis Analytics,Information Technology,IL,Company - Private,Enterprise Software & Network Solutions,data scientist roles (all levels including leads),2013.0,3.3,863,51 to 200 Employees,1,0,110240.0
392,$25 to $50 million (USD),Tech True Up,Information Technology,Remote,Company - Private,Enterprise Software & Network Solutions,data scientist,2013.0,3.3,783,51 to 200 Employees,1,0,110240.0
393,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2006.0,,343,5001 to 10000 Employees,1,0,110240.0
394,Unknown / Non-Applicable,Procter & Gamble,Information Technology,OH,Company - Public,Internet,data scientist phd,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
395,$10+ billion (USD),OpenTable,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data science engineer,1837.0,4.2,693,10000+ Employees,1,0,110240.0
396,Unknown / Non-Applicable,Teladoc Health,Information Technology,CO,Company - Public,Internet,data engineer,1998.0,4.0,362,1001 to 5000 Employees,1,0,110240.0
397,$10+ billion (USD),Sam's Club,Retail,TX,Subsidiary or Business Segment,General Merchandise & Superstores,data scientist,1983.0,4.0,877,1001 to 5000 Employees,1,0,110240.0
398,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
399,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
400,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
401,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
402,$25 to $50 million (USD),Denken Solutions Inc,Information Technology,CA,Government,Federal Agencies,data science (100% remote),1862.0,3.7,633,10000+ Employees,1,0,110240.0
403,$25 to $50 million (USD),Allstate,Information Technology,IL,Company - Private,IT Services,avail - staff data scientist (remote home based worker),2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
404,,Journey Foods,Insurance,TX,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
405,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Private,Computer Hardware & Software,statistical programmer 1,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
406,$2 to $5 billion (USD),Salesforce,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,fall 2021 co-op - data and automation analyst,1976.0,4.1,640,10000+ Employees,1,0,110240.0
407,$10+ billion (USD),Pacific Northwest National Laboratory,Information Technology,WA,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,700,10000+ Employees,1,0,110240.0
408,$500 million to $1 billion (USD),Pivosys Inc.,"Oil, Gas, Energy & Utilities",CA,Government,Energy,python developer -with data science experience,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
409,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"machine learning research scientist, algorithmic impact & responsibility",2006.0,,246,5001 to 10000 Employees,1,0,110240.0
410,,NSI Inc.,Information Technology,Remote,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
411,Unknown / Non-Applicable,Salesforce,Business Services,Remote,Company - Private,Consulting,data science engineer,1926.0,4.4,573,10000+ Employees,1,0,110240.0
412,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Public,Computer Hardware & Software,"data engineer, product analytics",1999.0,4.4,1101,10000+ Employees,1,0,110240.0
413,$10+ billion (USD),Nestria,Information Technology,Remote,Company - Public,Internet,python & data science mentor,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
414,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"backend engineer, data science platform",2006.0,4.2,812,5001 to 10000 Employees,1,0,110240.0
415,Unknown / Non-Applicable,Newsly Technologies,Information Technology,,Company - Public,Internet,data scientist,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
416,Unknown / Non-Applicable,Procter & Gamble,Information Technology,OH,Company - Public,Internet,data scientist phd,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
417,$10+ billion (USD),OpenTable,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data science engineer,1837.0,4.2,693,10000+ Employees,1,0,110240.0
418,$100 to $500 million (USD),Teladoc Health,Health Care,CO,Company - Public,Health Care Services & Hospitals,data engineer,2002.0,4.0,362,1001 to 5000 Employees,1,0,110240.0
419,$10+ billion (USD),Sam's Club,Retail,TX,Subsidiary or Business Segment,General Merchandise & Superstores,data scientist,1983.0,3.3,877,10000+ Employees,1,0,110240.0
420,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
421,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
422,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
423,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
424,,Denken Solutions Inc,Government,CA,Government,Federal Agencies,data science (100% remote),1862.0,3.7,633,10000+ Employees,1,0,110240.0
425,$25 to $50 million (USD),Allstate,Information Technology,IL,Company - Private,IT Services,avail - staff data scientist (remote home based worker),2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
426,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,WA,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
427,$500 million to $1 billion (USD),Cisco Systems,"Oil, Gas, Energy & Utilities",CA,Government,Energy,data visualization engineer,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
428,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Private,Computer Hardware & Software,"data engineer, product analytics",1984.0,4.3,4414,10000+ Employees,1,0,110240.0
429,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Public,Internet,statistical programmer 1,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
430,$2 to $5 billion (USD),McKinsey & Company,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,junior data engineer - quantumblack,1976.0,4.1,640,10000+ Employees,1,0,110240.0
431,Unknown / Non-Applicable,Journey Foods,Business Services,TX,Company - Private,Consulting,data scientist,1926.0,4.4,573,10000+ Employees,1,0,110240.0
432,Unknown / Non-Applicable,Nestria,Information Technology,Remote,Company - Public,Internet,python & data science mentor,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
433,Unknown / Non-Applicable,Salesforce,Information Technology,Remote,Company - Public,Internet,data science engineer,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
434,$10+ billion (USD),BridgeBio,Information Technology,Remote,Company - Public,Computer Hardware & Software,data engineer/data science engineer,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
435,Unknown / Non-Applicable,Salesforce,Biotech & Pharmaceuticals,TX,Company - Public,Biotech & Pharmaceuticals,fall 2021 co-op - data and automation analyst,2015.0,4.2,1296,201 to 500 Employees,1,0,110240.0
436,,Pivosys Inc.,Information Technology,CA,Company - Public,Internet,python developer -with data science experience,2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
437,Less than $1 million (USD),CORMAC,Information Technology,,Company - Private,Computer Hardware & Software,junior data scientist / entry level data scientist,2002.0,,768,1 to 50 Employees,1,0,110240.0
438,$10+ billion (USD),Microsoft,Information Technology,,Company - Private,,content developer 1,2002.0,3.2,526,1 to 50 Employees,1,0,110240.0
439,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
440,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
441,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
442,Unknown / Non-Applicable,Allstate,Government,IL,Government,Federal Agencies,avail - staff data scientist (remote home based worker),1862.0,3.7,633,10000+ Employees,1,0,110240.0
443,$10+ billion (USD),Journey Foods,Insurance,TX,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
444,$25 to $50 million (USD),PRA Health Sciences,Information Technology,Remote,Company - Private,IT Services,statistical programmer 1,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
445,$2 to $5 billion (USD),Spotify,Biotech & Pharmaceuticals,NY,Company - Public,Biotech & Pharmaceuticals,"machine learning research scientist, algorithmic impact & responsibility",1976.0,4.1,640,10000+ Employees,1,0,110240.0
446,Unknown / Non-Applicable,Salesforce,Information Technology,MA,Company - Public,Internet,fall 2021 co-op - data and automation analyst,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
447,$10+ billion (USD),Salesforce,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science engineer,1999.0,4.4,700,10000+ Employees,1,0,110240.0
448,$10+ billion (USD),Cisco Systems,Information Technology,CA,Company - Public,Computer Hardware & Software,data visualization engineer,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
449,$10+ billion (USD),Pacific Northwest National Laboratory,Information Technology,WA,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
450,,NSI Inc.,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
451,$10+ billion (USD),Nestria,Information Technology,Remote,Company - Private,Computer Hardware & Software,python & data science mentor,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
452,$10+ billion (USD),Pivosys Inc.,Information Technology,CA,Company - Public,Internet,python developer -with data science experience,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
453,,Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2006.0,4.2,533,5001 to 10000 Employees,1,0,110240.0
454,Unknown / Non-Applicable,McKinsey & Company,,MA,Company - Public,Internet,junior data engineer - quantumblack,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
455,Unknown / Non-Applicable,Civis Analytics,Business Services,IL,Company - Private,Consulting,data scientist roles (all levels including leads),1926.0,4.4,573,10000+ Employees,1,0,110240.0
456,$10+ billion (USD),Procter & Gamble,Manufacturing,OH,,Consumer Products Manufacturing,data scientist phd,2013.0,3.3,783,51 to 200 Employees,1,0,110240.0
457,$10+ billion (USD),SquadMethod,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,senior data consultant,1837.0,4.2,693,10000+ Employees,1,0,110240.0
458,$10+ billion (USD),Tech True Up,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data scientist,1837.0,4.2,1240,10000+ Employees,1,0,110240.0
459,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
460,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
461,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
462,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
463,Unknown / Non-Applicable,Pacific Northwest National Laboratory,Government,WA,Government,Federal Agencies,data scientist,1862.0,3.7,633,10000+ Employees,1,0,110240.0
464,Unknown / Non-Applicable,Allstate,Government,IL,Government,Federal Agencies,avail - staff data scientist (remote home based worker),1862.0,3.7,633,10000+ Employees,1,0,110240.0
465,$10+ billion (USD),Denken Solutions Inc,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,data science (100% remote),1931.0,3.5,760,10000+ Employees,1,0,110240.0
466,$25 to $50 million (USD),Cisco Systems,Information Technology,CA,Company - Private,IT Services,data visualization engineer,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
467,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Private,Computer Hardware & Software,"data engineer, product analytics",1984.0,4.3,4414,10000+ Employees,1,0,110240.0
468,$2 to $5 billion (USD),Spotify,Biotech & Pharmaceuticals,NY,Company - Public,Biotech & Pharmaceuticals,"machine learning research scientist, algorithmic impact & responsibility",1976.0,4.1,640,10000+ Employees,1,0,110240.0
469,Unknown / Non-Applicable,Salesforce,Information Technology,Remote,Company - Public,Internet,data science engineer,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
470,$10+ billion (USD),Salesforce,Information Technology,TX,Company - Public,Computer Hardware & Software,fall 2021 co-op - data and automation analyst,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
471,$10+ billion (USD),Nestria,Information Technology,Remote,Company - Public,Computer Hardware & Software,python & data science mentor,1999.0,4.4,700,10000+ Employees,1,0,110240.0
472,$10+ billion (USD),Spotify,Manufacturing,NY,Company - Public,Consumer Products Manufacturing,"data scientist, creation platform",1837.0,4.2,693,10000+ Employees,1,0,110240.0
473,Unknown / Non-Applicable,Nexient,Information Technology,,Company - Public,Internet,machine learning engineer,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
474,Unknown / Non-Applicable,CORMAC,Information Technology,,Company - Private,Enterprise Software & Network Solutions,junior data scientist / entry level data scientist,2009.0,3.8,946,501 to 1000 Employees,1,0,110240.0
475,Unknown / Non-Applicable,McKinsey & Company,Business Services,MA,Company - Private,Consulting,junior data engineer - quantumblack,1926.0,,526,10000+ Employees,1,0,110240.0
476,Unknown / Non-Applicable,BridgeBio,Business Services,Remote,Company - Private,Consulting,data engineer/data science engineer,1926.0,4.4,573,10000+ Employees,1,0,110240.0
477,Unknown / Non-Applicable,Syrinx,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,data scientist - remote,2015.0,4.2,1296,201 to 500 Employees,1,0,110240.0
478,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,110240.0
479,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
480,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
481,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
482,Unknown / Non-Applicable,US Internal Revenue Service,Government,VI,Government,Federal Agencies,mathematical statistician (data scientist) or statistician (data scientist),1862.0,3.7,678,10000+ Employees,1,0,110240.0
483,$500 million to $1 billion (USD),Pacific Northwest National Laboratory,"Oil, Gas, Energy & Utilities",WA,Government,Energy,data scientist,1965.0,,633,1001 to 5000 Employees,1,0,110240.0
484,$500 million to $1 billion (USD),Allstate,"Oil, Gas, Energy & Utilities",IL,Government,Energy,avail - staff data scientist (remote home based worker),1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
485,$25 to $50 million (USD),Denken Solutions Inc,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,data science (100% remote),1931.0,3.5,760,10000+ Employees,1,0,110240.0
486,$25 to $50 million (USD),Cisco Systems,Information Technology,CA,Company - Private,IT Services,data visualization engineer,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
487,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Private,Computer Hardware & Software,"data engineer, product analytics",1984.0,4.3,4414,10000+ Employees,1,0,110240.0
488,$10+ billion (USD),NSI Inc.,Information Technology,Remote,Company - Public,Internet,data scientist,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
489,,Spotify,Biotech & Pharmaceuticals,NY,Company - Public,Biotech & Pharmaceuticals,"machine learning research scientist, algorithmic impact & responsibility",1976.0,4.1,640,10000+ Employees,1,0,110240.0
490,Unknown / Non-Applicable,Salesforce,Information Technology,Remote,Company - Public,Internet,data science engineer,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
491,$10+ billion (USD),Salesforce,Information Technology,TX,Company - Public,Computer Hardware & Software,fall 2021 co-op - data and automation analyst,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
492,$10+ billion (USD),Nestria,Information Technology,Remote,Company - Public,Computer Hardware & Software,python & data science mentor,1999.0,4.4,700,10000+ Employees,1,0,110240.0
